Name,Main category,Sub category,Valve,Level,Combined_tags
\\PIGILCollective\SACPP_CEN_LIC2292_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2292_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2511_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2511_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_FIC2511_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_FIC2511_MV CONDENSATE OUTLET FLOW CONTROL VALVE
\\PIGILCollective\SACPP_CEN_FIC2511_PV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_FIC2511_PV CONDENSATE OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_LIC2511_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2511_MV CONDENSATE OUTLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_LIC2513_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2513_MV CONDENSATE OUTLET LEVEL CONTROL VALVE B
\\PIGILCollective\SACPP_CEN_FI2510_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_FI2510_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2511_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2511_PV GAS OUTLET PRESSURE
\\PIGILCollective\SACPP_CEN_PIC2510_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2510_MV GAS OUTLET PRESSURE CONTROL VALVE
\\PIGILCollective\SACPP_CEN_TI2510_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_TI2510_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PIC2511_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2511_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_LIC2512_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2512_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2512_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2512_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2581_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2581_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_LIC2581_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2581_MV CONDENSATE OUTLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_FI2580_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_FI2580_PV GAS OUTLET FLOW RATE
\\PIGILCollective\SACPP_CEN_PI2580_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2580_PV GAS OUTLET PRESSURE
\\PIGILCollective\SACPP_CEN_PIC2581_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2581_MV GAS OUTLET PRESSURE CONTROL VALVE
\\PIGILCollective\SACPP_CEN_TI2580_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_TI2580_PV GAS OUTLET TEMPERATURE
\\PIGILCollective\SACPP_CEN_PIC2580_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2580_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_PI2581_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2581_PV VESSEL PRESSURE
\\PIGILCollective\SACPP_CEN_TIC2581_PV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_TIC2581_PV VESSEL TEMPERATURE
\\PIGILCollective\SACPP_CEN_LIC2582_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2582_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2582_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2582_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PIC2665A_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2665A_MV BLANKET GAS PRESSURE CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PI2665_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2665_PV GAS OUTLET PRESSURE
\\PIGILCollective\SACPP_CEN_LY2666MLD_MV,Liquid_Processing,Separators,0,0,SACPP_CEN_LY2666MLD_MV INLET LEVEL CONTROL VALVE A
\\PIGILCollective\SACPP_CEN_PIC2665B_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2665B_MV PRESSURE CONTROL VALVE TO FLARE
\\PIGILCollective\SACPP_CEN_LI2665_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LI2665_PV WATER LEVEL
\\PIGILCollective\SACPP_CEN_LIC2665_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_LIC2665_MV WATER LEVEL CONTROL VALVE
\\PIGILCollective\SACPP_CEN_PIC2675A_MV,Liquid_Processing,Separators,Yes,0,SACPP_CEN_PIC2675A_MV BLANKET GAS PRESSURE CONTROL VALVE
\\PIGILCollective\SACPP_CEN_LIC2678_PV,Liquid_Processing,Separators,0,Y,SACPP_CEN_LIC2678_PV CONDENSATE LEVEL
\\PIGILCollective\SACPP_CEN_PI2675_PV,Liquid_Processing,Separators,0,0,SACPP_CEN_PI2675_PV GAS OUTLET PRESSURE
\\PIGILCollective\SACPP_CEN_LY2675MLD_MV,Liquid_Processing,Separators,0,0,SACPP_CEN_LY2675MLD_MV INLET LEVEL CONTROL VALVE A
